key,instantiation_moment,start_display_period,end_display_period,picture_link,slogan,web_link
banner-01,2020/01/01 11:00,2021/06/01 11:00,2022/09/01 11:00,https://londonnewsonline.co.uk/wp-content/uploads/2020/04/latest-breaking-banner-800x100-1.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-02,2020/01/01 00:00,2021/06/01 11:00,2022/09/01 11:00,https://londonnewsonline.co.uk/wp-content/uploads/2020/04/latest-breaking-banner-800x100-1.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-03,2020/01/01 11:59,2021/06/01 11:00,2022/09/01 11:00,https://londonnewsonline.co.uk/wp-content/uploads/2020/04/latest-breaking-banner-800x100-1.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-04,2020/01/01 12:00,2021/06/01 11:00,2022/09/01 11:00,https://londonnewsonline.co.uk/wp-content/uploads/2020/04/latest-breaking-banner-800x100-1.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-05,2020/01/01 12:01,2021/06/01 11:00,2022/09/01 11:00,https://londonnewsonline.co.uk/wp-content/uploads/2020/04/latest-breaking-banner-800x100-1.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-06,2020/01/01 23:59,2021/06/01 11:00,2022/09/01 11:00,https://images6.fanpop.com/image/photos/37600000/Banner-800-X-100-version-equestria-37642346-800-100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-07,2020/12/31 23:59,2021/06/01 11:00,2022/09/01 11:00,https://images6.fanpop.com/image/photos/37600000/Banner-800-X-100-version-equestria-37642346-800-100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-08,2020/01/01 00:00,2021/06/01 11:00,2022/09/01 11:00,https://images6.fanpop.com/image/photos/37600000/Banner-800-X-100-version-equestria-37642346-800-100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-09,2020/12/31 00:00,2021/06/01 11:00,2022/09/01 11:00,https://images6.fanpop.com/image/photos/37600000/Banner-800-X-100-version-equestria-37642346-800-100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-10,2020/12/31 00:01,2021/06/01 11:00,2022/09/01 11:00,https://images6.fanpop.com/image/photos/37600000/Banner-800-X-100-version-equestria-37642346-800-100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-11,2000/01/01 00:00,2000/01/01 00:01,2000/01/08 00:01,https://media.assets.sincrod.com/websites/content/851e1e043b554db5a9c86d72157989c3_c0x20-1600x200.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-12,2000/01/01 00:01,2000/01/01 00:02,2000/01/08 00:02,https://media.assets.sincrod.com/websites/content/851e1e043b554db5a9c86d72157989c3_c0x20-1600x200.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-13,2022/07/30 00:00,2022/08/30 00:00,2100/12/31 23:58,https://media.assets.sincrod.com/websites/content/851e1e043b554db5a9c86d72157989c3_c0x20-1600x200.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-14,2022/07/29 23:59,2022/08/30 00:00,2100/12/31 23:59,https://media.assets.sincrod.com/websites/content/851e1e043b554db5a9c86d72157989c3_c0x20-1600x200.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-15,2020/01/01 11:00,2021/01/01 00:00,2022/09/01 11:00,https://media.assets.sincrod.com/websites/content/851e1e043b554db5a9c86d72157989c3_c0x20-1600x200.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-16,2020/01/01 11:00,2021/01/01 11:59,2022/09/01 11:00,https://www.labpins.com/wp-content/uploads/lab-banner-800x100-jhd.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-17,2020/01/01 11:00,2021/01/01 12:00,2022/09/01 11:00,https://www.labpins.com/wp-content/uploads/lab-banner-800x100-jhd.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-18,2020/01/01 11:00,2021/01/01 12:01,2022/09/01 11:00,https://www.labpins.com/wp-content/uploads/lab-banner-800x100-jhd.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-19,2020/01/01 11:00,2021/01/01 23:59,2022/09/01 11:00,https://www.labpins.com/wp-content/uploads/lab-banner-800x100-jhd.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-20,2020/01/01 11:00,2021/12/31 23:59,2022/09/01 11:00,https://www.labpins.com/wp-content/uploads/lab-banner-800x100-jhd.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-21,2020/01/01 11:00,2021/01/01 00:00,2022/09/01 11:00,https://blog.redbubble.com/wp-content/uploads/2019/06/Joypixels-emoji-divider-800x100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-22,2020/01/01 11:00,2021/12/31 00:00,2022/09/01 11:00,https://blog.redbubble.com/wp-content/uploads/2019/06/Joypixels-emoji-divider-800x100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-23,2020/01/01 11:00,2021/12/31 00:01,2022/09/01 11:00,https://blog.redbubble.com/wp-content/uploads/2019/06/Joypixels-emoji-divider-800x100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-24,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 00:00,https://blog.redbubble.com/wp-content/uploads/2019/06/Joypixels-emoji-divider-800x100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-25,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 11:59,https://blog.redbubble.com/wp-content/uploads/2019/06/Joypixels-emoji-divider-800x100.png,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-26,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 12:00,https://thumbs.dreamstime.com/b/beautiful-landscape-river-bank-wide-panorama-croatia-green-forest-clear-water-230115550.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-27,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 12:01,https://thumbs.dreamstime.com/b/beautiful-landscape-river-bank-wide-panorama-croatia-green-forest-clear-water-230115550.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-28,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 23:59,https://thumbs.dreamstime.com/b/beautiful-landscape-river-bank-wide-panorama-croatia-green-forest-clear-water-230115550.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-29,2020/01/01 11:00,2021/06/01 11:00,2023/12/31 23:59,https://thumbs.dreamstime.com/b/beautiful-landscape-river-bank-wide-panorama-croatia-green-forest-clear-water-230115550.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-30,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 00:00,https://thumbs.dreamstime.com/b/beautiful-landscape-river-bank-wide-panorama-croatia-green-forest-clear-water-230115550.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-31,2020/01/01 11:00,2021/06/01 11:00,2023/12/31 00:00,https://www.winecountrylifevacationhomes.com/wp-content/themes/wineBF22/images/slider-inner.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
