key,code,execution-date,type,corrective-actions,link,draftMode,key:auditor
code-audit-01,ABC-123,2003/10/14 00:00,STATIC,"action-1,action2, action3",https://www.zara.com/es/,true,auditor-01
code-audit-02,DEF-567,2004/10/15 00:30,DINAMIC,"action-4,action5, action6",https://www.zara.com/es/,true,auditor-01
code-audit-03,GHI-912,2005/02/16 01:00,STATIC,"action-7,action8, action7",null,true,auditor-01
code-audit-04,JKL-456,2006/05/17 01:30,DINAMIC,"action-10,action11, action12",https://www.zara.com/es/,true,auditor-01
code-audit-05,MNO-891,2007/07/18 02:00,STATIC,"action-13,action14, action15",https://www.zara.com/es/,false,auditor-01
code-audit-06,PQR-345,2008/11/19 02:30,DINAMIC,"action-16,action17, action18",null,true,auditor-01
code-audit-07,STV-789,2009/06/20 03:00,STATIC,"action-19,action20, action21",https://www.zara.com/es/,true,auditor-02
code-audit-08,WXY-234,2008/03/21 03:30,DINAMIC,"action-22,action23, action24",https://www.zara.com/es/,false,auditor-02
code-audit-09,ZAB-678,2007/09/22 04:00,STATIC,"action-25,action26, action27",null,true,auditor-02
code-audit-10,CDE-123,2006/08/23 04:30,DINAMIC,"action-28,action29, action30",https://www.zara.com/es/,false,auditor-02
code-audit-11,FGH-567,2010/10/24 05:00,STATIC,"action-31,action32, action33",https://www.zara.com/es/,true,auditor-02
code-audit-12,IJK-912,2020/02/29 05:30,DINAMIC,"action-34,action35, action36",null,true,auditor-02
code-audit-13,A-111, 2009/01/31 23:59,STATIC,"a",https://www.zara.com/es/,false,auditor-01
code-audit-14,AA-222, 2000/01/31 17:10,DINAMIC,"action1,action2,action3,--------------------------------------------------------------------100chars",https://www.zara.com/es/,true,auditor-01
code-audit-15,AB-321, 2001/10/27 19:10,STATIC,"action1,action2,action3,--------------------------------------------------------------------99chars",null,false,auditor-01
code-audit-16,B-654, 2011/02/27 22:30,DINAMIC,"action1,action2,action3,-------------------50chars",null,true,auditor-01
code-audit-17,BCD-951, 2013/05/14 12:30,STATIC,"action1,action2,action3",https://الصين.com,true,auditor-01
code-audit-18,J-741, 2012/06/07 09:30,DINAMIC,"action1,action2,action3",https://linksssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.com,true,auditor-02
code-audit-19,JS-030, 2003/05/17 09:30,STATIC,"action1,action2,action3",https://a.c,false,auditor-01
code-audit-20,Y-888, 2009/01/31 23:59,STATIC,"a",https://www.zara.com/es/,false,auditor-02
code-audit-21,YY-987, 2000/01/31 17:10,DINAMIC,"action1,action2,action3,--------------------------------------------------------------------100chars",https://www.zara.com/es/,true,auditor-02
code-audit-22,EWQ-632, 2001/10/27 19:10,STATIC,"action1,action2,action3,--------------------------------------------------------------------99chars",null,false,auditor-02
code-audit-23,G-852, 2011/02/27 22:30,DINAMIC,"action1,action2,action3,-------------------50chars",null,true,auditor-02
code-audit-24,POL-934, 2013/05/14 12:30,STATIC,"action1,action2,action3",https://الصين.com,true,auditor-02
code-audit-25,A-141, 2012/06/07 09:30,DINAMIC,"action1,action2,action3",https://linksssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.com,true,auditor-02
code-audit-26,AL-003, 2003/05/17 09:30,STATIC,"action1,action2,action3",https://a.c,false,auditor-02
